Id,SleepDay,TotalMinutesAsleep,TotalSleepRecords,TotalTimeInBed
1503960366,2016-04-12,327,1,346
1503960366,2016-04-13,384,2,407
1503960366,2016-04-15,412,1,442
1503960366,2016-04-16,340,2,367
1503960366,2016-04-17,700,1,712
1503960366,2016-04-19,304,1,320
1503960366,2016-04-20,360,1,377
1503960366,2016-04-21,325,1,364
1503960366,2016-04-23,361,1,384
1503960366,2016-04-24,430,1,449
1503960366,2016-04-25,277,1,323
1503960366,2016-04-26,245,1,274
1503960366,2016-04-28,366,1,393
1503960366,2016-04-29,341,1,354
1503960366,2016-04-30,404,1,425
1503960366,2016-05-01,369,1,396
1503960366,2016-05-02,277,1,309
1503960366,2016-05-03,273,1,296
1503960366,2016-05-05,247,1,264
1503960366,2016-05-06,334,1,367
1503960366,2016-05-07,331,1,349
1503960366,2016-05-08,594,1,611
1503960366,2016-05-09,338,1,342
1503960366,2016-05-10,383,1,403
1503960366,2016-05-11,285,1,306
1644430081,2016-04-29,119,1,127
1644430081,2016-04-30,124,1,142
1644430081,2016-05-02,796,1,961
1644430081,2016-05-08,137,1,154
1844505072,2016-04-15,644,1,961
1844505072,2016-04-30,722,1,961
1844505072,2016-05-01,590,1,961
1927972279,2016-04-12,750,3,775
1927972279,2016-04-13,398,1,422
1927972279,2016-04-15,475,2,499
1927972279,2016-04-26,296,1,315
1927972279,2016-04-28,166,1,178
2026352035,2016-04-12,503,1,546
2026352035,2016-04-13,531,1,565
2026352035,2016-04-14,545,1,568
2026352035,2016-04-15,523,1,573
2026352035,2016-04-16,524,1,567
2026352035,2016-04-17,437,1,498
2026352035,2016-04-19,498,1,540
2026352035,2016-04-20,461,1,510
2026352035,2016-04-21,477,1,514
2026352035,2016-04-22,520,1,545
2026352035,2016-04-23,522,1,554
2026352035,2016-04-24,555,1,591
2026352035,2016-04-25,506,1,531
2026352035,2016-04-27,508,1,545
2026352035,2016-04-28,513,1,545
2026352035,2016-04-29,490,1,510
2026352035,2016-04-30,573,1,607
2026352035,2016-05-01,527,1,546
2026352035,2016-05-02,511,1,543
2026352035,2016-05-04,538,1,560
2026352035,2016-05-05,468,1,485
2026352035,2016-05-06,524,1,548
2026352035,2016-05-07,511,1,521
2026352035,2016-05-08,541,1,568
2026352035,2016-05-09,531,1,556
2026352035,2016-05-10,357,1,380
2026352035,2016-05-11,523,1,553
2026352035,2016-05-12,456,1,485
2320127002,2016-04-23,61,1,69
2347167796,2016-04-13,467,1,531
2347167796,2016-04-14,445,1,489
2347167796,2016-04-15,452,1,504
2347167796,2016-04-17,556,1,602
2347167796,2016-04-18,500,1,557
2347167796,2016-04-19,465,1,514
2347167796,2016-04-21,460,1,484
2347167796,2016-04-22,405,1,461
2347167796,2016-04-23,374,1,386
2347167796,2016-04-24,442,1,459
2347167796,2016-04-25,433,1,471
2347167796,2016-04-26,436,1,490
2347167796,2016-04-27,448,1,499
2347167796,2016-04-28,408,1,450
2347167796,2016-04-29,411,1,473
3977333714,2016-04-12,274,1,469
3977333714,2016-04-13,295,2,456
3977333714,2016-04-14,291,1,397
3977333714,2016-04-15,424,1,556
3977333714,2016-04-16,283,1,510
3977333714,2016-04-17,381,1,566
3977333714,2016-04-18,412,2,522
3977333714,2016-04-19,219,1,395
3977333714,2016-04-20,152,2,305
3977333714,2016-04-21,332,1,512
3977333714,2016-04-22,355,1,476
3977333714,2016-04-23,235,1,372
3977333714,2016-04-24,310,1,526
3977333714,2016-04-25,262,1,467
3977333714,2016-04-26,250,1,371
3977333714,2016-04-27,349,1,540
3977333714,2016-04-28,261,1,423
3977333714,2016-04-29,333,1,478
3977333714,2016-04-30,237,1,382
3977333714,2016-05-01,383,1,626
3977333714,2016-05-02,230,1,384
3977333714,2016-05-03,292,1,500
3977333714,2016-05-04,213,1,336
3977333714,2016-05-05,318,1,480
3977333714,2016-05-06,323,1,512
3977333714,2016-05-07,237,1,443
3977333714,2016-05-08,259,2,456
3977333714,2016-05-10,312,1,452
4020332650,2016-04-12,501,1,541
4020332650,2016-04-16,77,1,77
4020332650,2016-05-03,322,1,332
4020332650,2016-05-04,478,1,536
4020332650,2016-05-05,226,1,248
4020332650,2016-05-06,385,1,408
4020332650,2016-05-08,364,1,402
4020332650,2016-05-10,442,1,494
4319703577,2016-04-14,535,1,557
4319703577,2016-04-15,465,1,491
4319703577,2016-04-16,506,1,522
4319703577,2016-04-18,515,1,551
4319703577,2016-04-19,461,2,498
4319703577,2016-04-20,523,1,543
4319703577,2016-04-21,59,1,65
4319703577,2016-04-22,533,1,550
4319703577,2016-04-23,692,1,722
4319703577,2016-04-24,467,1,501
4319703577,2016-04-25,488,1,506
4319703577,2016-04-26,505,1,516
4319703577,2016-04-27,286,1,307
4319703577,2016-04-28,497,1,522
4319703577,2016-04-29,523,1,546
4319703577,2016-04-30,490,1,516
4319703577,2016-05-01,484,1,500
4319703577,2016-05-02,478,1,506
4319703577,2016-05-03,474,1,512
4319703577,2016-05-06,450,1,491
4319703577,2016-05-07,507,1,530
4319703577,2016-05-08,602,1,638
4319703577,2016-05-09,535,1,565
4319703577,2016-05-10,487,1,517
4319703577,2016-05-11,529,1,558
4319703577,2016-05-12,302,1,321
4388161847,2016-04-15,499,1,526
4388161847,2016-04-16,426,2,448
4388161847,2016-04-17,619,2,641
4388161847,2016-04-18,99,1,104
4388161847,2016-04-19,329,1,338
4388161847,2016-04-20,421,1,451
4388161847,2016-04-21,442,1,458
4388161847,2016-04-22,82,1,85
4388161847,2016-04-23,478,1,501
4388161847,2016-04-24,552,3,595
4388161847,2016-04-26,319,1,346
4388161847,2016-04-27,439,1,500
4388161847,2016-04-28,428,1,458
4388161847,2016-04-30,409,2,430
4388161847,2016-05-01,547,1,597
4388161847,2016-05-02,368,2,376
4388161847,2016-05-04,390,1,414
4388161847,2016-05-05,471,1,495
4388161847,2016-05-07,472,1,496
4388161847,2016-05-08,529,2,541
4388161847,2016-05-09,62,1,65
4388161847,2016-05-10,354,1,375
4388161847,2016-05-11,469,1,494
4445114986,2016-04-12,429,2,457
4445114986,2016-04-13,370,2,406
4445114986,2016-04-14,441,1,492
4445114986,2016-04-15,337,2,379
4445114986,2016-04-16,462,1,499
4445114986,2016-04-17,98,1,107
4445114986,2016-04-19,388,2,424
4445114986,2016-04-20,439,1,462
4445114986,2016-04-21,436,1,469
4445114986,2016-04-22,388,1,417
4445114986,2016-04-25,328,1,345
4445114986,2016-04-26,353,2,391
4445114986,2016-04-27,332,1,374
4445114986,2016-04-28,419,1,442
4445114986,2016-04-29,106,1,108
4445114986,2016-04-30,322,1,353
4445114986,2016-05-01,439,2,459
4445114986,2016-05-02,502,1,542
4445114986,2016-05-03,417,2,450
4445114986,2016-05-04,337,2,363
4445114986,2016-05-05,462,2,513
4445114986,2016-05-06,374,2,402
4445114986,2016-05-07,401,2,436
4445114986,2016-05-08,361,1,391
4445114986,2016-05-09,457,1,533
4445114986,2016-05-10,405,1,426
4445114986,2016-05-11,499,1,530
4445114986,2016-05-12,483,1,501
4558609924,2016-04-21,126,1,137
4558609924,2016-04-26,103,1,121
4558609924,2016-04-29,171,1,179
4558609924,2016-05-01,115,1,129
4558609924,2016-05-08,123,1,134
4702921684,2016-04-12,425,1,439
4702921684,2016-04-13,400,2,430
4702921684,2016-04-14,384,1,415
4702921684,2016-04-15,253,1,257
4702921684,2016-04-16,382,2,406
4702921684,2016-04-17,591,1,612
4702921684,2016-04-18,293,1,312
4702921684,2016-04-19,457,1,487
4702921684,2016-04-20,454,1,468
4702921684,2016-04-21,425,1,434
4702921684,2016-04-23,465,1,475
4702921684,2016-04-24,480,1,506
4702921684,2016-04-25,370,1,380
4702921684,2016-04-26,421,1,429
4702921684,2016-04-27,432,1,449
4702921684,2016-04-28,442,1,461
4702921684,2016-04-29,433,1,447
4702921684,2016-04-30,479,1,501
4702921684,2016-05-03,327,1,373
4702921684,2016-05-04,412,1,434
4702921684,2016-05-05,414,1,428
4702921684,2016-05-06,404,1,449
4702921684,2016-05-07,520,1,543
4702921684,2016-05-09,435,1,458
4702921684,2016-05-10,416,1,431
4702921684,2016-05-11,354,1,366
4702921684,2016-05-12,404,1,442
5553957443,2016-04-12,441,1,464
5553957443,2016-04-13,455,2,488
5553957443,2016-04-14,357,1,418
5553957443,2016-04-15,377,1,409
5553957443,2016-04-16,651,2,686
5553957443,2016-04-17,350,1,402
5553957443,2016-04-18,520,2,541
5553957443,2016-04-19,357,1,410
5553957443,2016-04-20,658,1,678
5553957443,2016-04-21,399,1,431
5553957443,2016-04-22,322,1,353
5553957443,2016-04-23,631,2,725
5553957443,2016-04-24,553,2,640
5553957443,2016-04-25,433,1,468
5553957443,2016-04-26,412,1,453
