id,activity_date,daily_average_heartrate,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,total_sleep_records,total_time_in_bed,bmi,weight_kg,weight_pounds
1503960366,2016-04-12,,13162,8.5,8.5,0.0,1.88,0.55,6.06,0.0,25,13,328,728,1985,327.0,1.0,346.0,,,
1503960366,2016-04-13,,10735,6.97,6.97,0.0,1.57,0.69,4.71,0.0,21,19,217,776,1797,384.0,2.0,407.0,,,
1503960366,2016-04-14,,10460,6.74,6.74,0.0,2.44,0.4,3.91,0.0,30,11,181,1218,1776,,,,,,
1503960366,2016-04-15,,9762,6.28,6.28,0.0,2.14,1.26,2.83,0.0,29,34,209,726,1745,412.0,1.0,442.0,,,
1503960366,2016-04-16,,12669,8.16,8.16,0.0,2.71,0.41,5.04,0.0,36,10,221,773,1863,340.0,2.0,367.0,,,
1503960366,2016-04-17,,9705,6.48,6.48,0.0,3.19,0.78,2.51,0.0,38,20,164,539,1728,700.0,1.0,712.0,,,
1503960366,2016-04-18,,13019,8.59,8.59,0.0,3.25,0.64,4.71,0.0,42,16,233,1149,1921,,,,,,
1503960366,2016-04-19,,15506,9.88,9.88,0.0,3.53,1.32,5.03,0.0,50,31,264,775,2035,304.0,1.0,320.0,,,
1503960366,2016-04-20,,10544,6.68,6.68,0.0,1.96,0.48,4.24,0.0,28,12,205,818,1786,360.0,1.0,377.0,,,
1503960366,2016-04-21,,9819,6.34,6.34,0.0,1.34,0.35,4.65,0.0,19,8,211,838,1775,325.0,1.0,364.0,,,
1503960366,2016-04-22,,12764,8.13,8.13,0.0,4.76,1.12,2.24,0.0,66,27,130,1217,1827,,,,,,
1503960366,2016-04-23,,14371,9.04,9.04,0.0,2.81,0.87,5.36,0.0,41,21,262,732,1949,361.0,1.0,384.0,,,
1503960366,2016-04-24,,10039,6.41,6.41,0.0,2.92,0.21,3.28,0.0,39,5,238,709,1788,430.0,1.0,449.0,,,
1503960366,2016-04-25,,15355,9.8,9.8,0.0,5.29,0.57,3.94,0.0,73,14,216,814,2013,277.0,1.0,323.0,,,
1503960366,2016-04-26,,13755,8.79,8.79,0.0,2.33,0.92,5.54,0.0,31,23,279,833,1970,245.0,1.0,274.0,,,
1503960366,2016-04-27,,18134,12.21,12.21,0.0,6.4,0.41,5.41,0.0,78,11,243,1108,2159,,,,,,
1503960366,2016-04-28,,13154,8.53,8.53,0.0,3.54,1.16,3.79,0.0,48,28,189,782,1898,366.0,1.0,393.0,,,
1503960366,2016-04-29,,11181,7.15,7.15,0.0,1.06,0.5,5.58,0.0,16,12,243,815,1837,341.0,1.0,354.0,,,
1503960366,2016-04-30,,14673,9.25,9.25,0.0,3.56,1.42,4.27,0.0,52,34,217,712,1947,404.0,1.0,425.0,,,
