id,activity_day,activity_hour,calories,total_intensity,average_intensity,step_total
1503960366,2016-04-12,00:00,81,20,0.33,373
1503960366,2016-04-12,01:00,61,8,0.13,160
1503960366,2016-04-12,02:00,59,7,0.12,151
1503960366,2016-04-12,03:00,47,0,0.0,0
1503960366,2016-04-12,04:00,48,0,0.0,0
1503960366,2016-04-12,05:00,48,0,0.0,0
1503960366,2016-04-12,06:00,48,0,0.0,0
1503960366,2016-04-12,07:00,47,0,0.0,0
1503960366,2016-04-12,08:00,68,13,0.22,250
1503960366,2016-04-12,09:00,141,30,0.5,1864
1503960366,2016-04-12,10:00,99,29,0.48,676
1503960366,2016-04-12,11:00,76,12,0.2,360
1503960366,2016-04-12,12:00,73,11,0.18,253
1503960366,2016-04-12,13:00,66,6,0.1,221
1503960366,2016-04-12,14:00,110,36,0.6,1166
1503960366,2016-04-12,15:00,151,58,0.97,2063
1503960366,2016-04-12,16:00,76,13,0.22,344
1503960366,2016-04-12,17:00,83,16,0.27,489
1503960366,2016-04-12,18:00,124,29,0.48,1386
1503960366,2016-04-12,19:00,104,39,0.65,558
1503960366,2016-04-12,20:00,132,41,0.68,1733
1503960366,2016-04-12,21:00,100,31,0.52,684
1503960366,2016-04-12,22:00,65,9,0.15,89
1503960366,2016-04-12,23:00,81,21,0.35,338
1503960366,2016-04-13,00:00,69,14,0.23,144
1503960366,2016-04-13,01:00,48,0,0.0,0
1503960366,2016-04-13,02:00,47,0,0.0,0
1503960366,2016-04-13,03:00,53,4,0.07,36
1503960366,2016-04-13,04:00,47,0,0.0,0
1503960366,2016-04-13,05:00,47,0,0.0,0
1503960366,2016-04-13,06:00,48,0,0.0,0
1503960366,2016-04-13,07:00,59,8,0.13,126
1503960366,2016-04-13,08:00,69,12,0.2,275
1503960366,2016-04-13,09:00,136,27,0.45,1679
1503960366,2016-04-13,10:00,77,15,0.25,295
1503960366,2016-04-13,11:00,84,16,0.27,524
1503960366,2016-04-13,12:00,82,15,0.25,486
1503960366,2016-04-13,13:00,72,10,0.17,302
1503960366,2016-04-13,14:00,128,46,0.77,1577
1503960366,2016-04-13,15:00,79,13,0.22,493
1503960366,2016-04-13,16:00,71,10,0.17,299
1503960366,2016-04-13,17:00,87,23,0.38,695
1503960366,2016-04-13,18:00,118,25,0.42,1343
1503960366,2016-04-13,19:00,73,13,0.22,258
1503960366,2016-04-13,20:00,47,0,0.0,0
1503960366,2016-04-13,21:00,48,0,0.0,0
1503960366,2016-04-13,22:00,74,11,0.18,437
1503960366,2016-04-13,23:00,135,56,0.93,1766
1503960366,2016-04-14,00:00,56,4,0.07,81
1503960366,2016-04-14,01:00,54,3,0.05,58
1503960366,2016-04-14,02:00,47,0,0.0,0
1503960366,2016-04-14,03:00,47,0,0.0,0
1503960366,2016-04-14,04:00,47,0,0.0,0
1503960366,2016-04-14,05:00,47,0,0.0,0
1503960366,2016-04-14,06:00,47,0,0.0,0
1503960366,2016-04-14,07:00,47,0,0.0,0
1503960366,2016-04-14,08:00,47,0,0.0,0
1503960366,2016-04-14,09:00,93,14,0.23,902
1503960366,2016-04-14,10:00,109,23,0.38,1106
1503960366,2016-04-14,11:00,64,7,0.12,50
1503960366,2016-04-14,12:00,85,18,0.3,501
1503960366,2016-04-14,13:00,137,54,0.9,1779
1503960366,2016-04-14,14:00,113,22,0.37,1228
1503960366,2016-04-14,15:00,66,7,0.12,139
1503960366,2016-04-14,16:00,88,25,0.42,408
1503960366,2016-04-14,17:00,61,5,0.08,37
1503960366,2016-04-14,18:00,72,12,0.2,322
1503960366,2016-04-14,19:00,55,1,0.02,11
1503960366,2016-04-14,20:00,91,24,0.4,806
1503960366,2016-04-14,21:00,174,57,0.95,2670
1503960366,2016-04-14,22:00,79,17,0.28,362
1503960366,2016-04-14,23:00,50,0,0.0,0
1503960366,2016-04-15,00:00,60,6,0.1,83
1503960366,2016-04-15,01:00,58,5,0.08,75
1503960366,2016-04-15,02:00,59,7,0.12,124
1503960366,2016-04-15,03:00,47,0,0.0,0
1503960366,2016-04-15,04:00,47,0,0.0,0
1503960366,2016-04-15,05:00,49,1,0.02,26
1503960366,2016-04-15,06:00,47,0,0.0,0
1503960366,2016-04-15,07:00,49,1,0.02,7
1503960366,2016-04-15,08:00,54,5,0.08,55
1503960366,2016-04-15,09:00,50,2,0.03,21
1503960366,2016-04-15,10:00,63,8,0.13,154
1503960366,2016-04-15,11:00,84,23,0.38,425
1503960366,2016-04-15,12:00,74,13,0.22,270
1503960366,2016-04-15,13:00,67,9,0.15,373
1503960366,2016-04-15,14:00,47,0,0.0,0
1503960366,2016-04-15,15:00,47,0,0.0,0
1503960366,2016-04-15,16:00,47,0,0.0,0
1503960366,2016-04-15,17:00,140,47,0.78,1774
1503960366,2016-04-15,18:00,87,22,0.37,509
1503960366,2016-04-15,19:00,97,32,0.53,519
1503960366,2016-04-15,20:00,64,8,0.13,77
1503960366,2016-04-15,21:00,75,14,0.23,280
1503960366,2016-04-15,22:00,151,66,1.1,2145
1503960366,2016-04-15,23:00,182,95,1.58,2768
1503960366,2016-04-16,00:00,77,15,0.25,459
1503960366,2016-04-16,01:00,48,0,0.0,0
1503960366,2016-04-16,02:00,52,3,0.05,63
1503960366,2016-04-16,03:00,48,1,0.02,6
1503960366,2016-04-16,04:00,49,1,0.02,6
1503960366,2016-04-16,05:00,49,1,0.02,12
1503960366,2016-04-16,06:00,48,0,0.0,0
1503960366,2016-04-16,07:00,54,4,0.07,101
1503960366,2016-04-16,08:00,62,9,0.15,175
1503960366,2016-04-16,09:00,124,38,0.63,1181
1503960366,2016-04-16,10:00,110,14,0.23,1295
1503960366,2016-04-16,11:00,147,30,0.5,2043
1503960366,2016-04-16,12:00,119,42,0.7,1513
1503960366,2016-04-16,13:00,214,90,1.5,3616
1503960366,2016-04-16,14:00,82,20,0.33,580
1503960366,2016-04-16,15:00,51,0,0.0,0
1503960366,2016-04-16,16:00,54,2,0.03,15
1503960366,2016-04-16,17:00,79,17,0.28,380
1503960366,2016-04-16,18:00,65,10,0.17,96
1503960366,2016-04-16,19:00,67,12,0.2,146
1503960366,2016-04-16,20:00,81,19,0.32,385
1503960366,2016-04-16,21:00,75,13,0.22,463
1503960366,2016-04-16,22:00,55,3,0.05,42
1503960366,2016-04-16,23:00,56,5,0.08,92
1503960366,2016-04-17,00:00,47,0,0.0,0
1503960366,2016-04-17,01:00,48,0,0.0,0
1503960366,2016-04-17,02:00,47,0,0.0,0
1503960366,2016-04-17,03:00,49,1,0.02,8
1503960366,2016-04-17,04:00,48,0,0.0,0
1503960366,2016-04-17,05:00,48,0,0.0,0
1503960366,2016-04-17,06:00,48,0,0.0,0
1503960366,2016-04-17,07:00,48,0,0.0,0
1503960366,2016-04-17,08:00,48,0,0.0,0
1503960366,2016-04-17,09:00,48,0,0.0,0
1503960366,2016-04-17,10:00,47,0,0.0,0
1503960366,2016-04-17,11:00,63,9,0.15,84
1503960366,2016-04-17,12:00,76,18,0.3,260
1503960366,2016-04-17,13:00,83,23,0.38,402
1503960366,2016-04-17,14:00,69,10,0.17,252
1503960366,2016-04-17,15:00,73,13,0.22,191
1503960366,2016-04-17,16:00,57,2,0.03,13
1503960366,2016-04-17,17:00,174,71,1.18,2613
1503960366,2016-04-17,18:00,136,39,0.65,1616
1503960366,2016-04-17,19:00,95,24,0.4,754
1503960366,2016-04-17,20:00,191,87,1.45,2955
1503960366,2016-04-17,21:00,79,16,0.27,487
1503960366,2016-04-17,22:00,58,5,0.08,70
1503960366,2016-04-17,23:00,50,0,0.0,0
1503960366,2016-04-18,00:00,82,21,0.35,416
1503960366,2016-04-18,01:00,48,0,0.0,0
1503960366,2016-04-18,02:00,47,0,0.0,0
1503960366,2016-04-18,03:00,47,0,0.0,0
1503960366,2016-04-18,04:00,47,0,0.0,0
1503960366,2016-04-18,05:00,47,0,0.0,0
1503960366,2016-04-18,06:00,47,0,0.0,0
1503960366,2016-04-18,07:00,47,0,0.0,0
1503960366,2016-04-18,08:00,47,0,0.0,0
1503960366,2016-04-18,09:00,133,39,0.65,1688
1503960366,2016-04-18,10:00,81,17,0.28,380
1503960366,2016-04-18,11:00,73,15,0.25,328
